"BANCO COLPATRIA","18","18.22 ","18.53 ","13.93 "
"Av Villas","19.21 ","15.38 ","14.31 ","11.61 "
"BANCO CAJA SOCIAL","22.48 ","21.31 ","20.22 ","14.69 "
"BANCO SERFINANZA S.A.","24.56 ","21.57 ","15.43 ","19.56 "
"BANCO W S.A.","12.68 ","15.25 ","14.99 ","16.65 "
"BBVA Colombia","14.77 ","17.01 ","17.54 ","11.51 "
"Banagrario","11.90 ","12.12 ","14.36 ","14.99 "
"Banco Davivienda","19.17 ","15.76 ","14.71 ","13.92 "
"Banco Falabella S.A.","21.31 ","21.10 ","21.25 ","23.27 "
"Banco GNB Sudameris","15.68 ","17.11 ","15.53 ","14.62 "
"Banco Mundo Mujer S.A.","28.62 ","28.56 ","0","0"
"Banco Pichincha S.A.","27.58 ","14.42 ","13.62 ","14.26 "
"Banco Popular","14.43 ","14.23 ","14.13 ","12.58 "
"Banco Santander","0","9.91 ","12.46 ","14.23 "
"Banco de Bogota","19.23 ","20.67 ","17.70 ","15.52 "
"Banco de Occidente","13.43 ","14.24 ","13.51 ","13.83 "
"Bancolombia","27.84 ","21.21 ","18.72 ","15.66 "
"Bancompartir S.A.","28.55 ","28.18 ","21.89 ","0"
"Bancoomeva","11.20 ","12.00 ","12.51 ","16.75 "
"C.A. Credifinanciera CF","13.22 ","19.51 ","20.40 ","16.67 "
"Coltefinanciera","9.91 ","20.52 ","19.73 ","21.05 "
"Confiar Cooperativa Financiera","14.55 ","12.30 ","16.90 ","14.09 "
"Coofinep Cooperativa Financiera","13.67 ","14.68 ","17.22 ","16.04 "
"Coopcentral","0","18.04 ","14.88 ","15.54 "
"Cooperativa Financiera de Antioquia","12.27 ","20.89 ","16.91 ","16.43 "
"Cotrafa Financiera","17.32 ","17.92 ","15.14 ","18.04 "
"Credifamilia","0","21.00 ","22.41 ","21.00 "
"Financiera Dann Regional","21.44 ","23.40 ","17.00 ","17.00 "
"Financiera Juriscoop C.F.","25.12 ","15.83 ","14.57 ","15.12 "
"Finandina","13.90 ","18.59 ","17.35 ","17.33 "
"Fondo Nacional del Ahorro","0","0","0","12.47 "
"GM FINANCIAL COLOMBIA S.A. COMPAÑÍA DE FINANCIAMIENTO","11.93 ","11.46 ","15.29 ","16.56 "
"Giros & Finanzas C.F.","28.16 ","28.32 ","27.01 ","19.63 "
"ITAÚ; BANCO CORPBANCA;","13.93 ","12.02 ","13.59 ","12.56 "
"JFK Cooperativa Financiera","18.26 ","18.21 ","18.61 ","19.63 "
"La Hipotecaria","0","0","20.50 ","18.87 "
"Oicolombia","28.54 ","28.54 ","0","0"
"RCI COLOMBIA S.A.","12.21 ","13.64 ","14.52 ","15.41 "
"Tuya","28.64 ","23.80 ","23.00 ","0.0"
