"BANCO COLPATRIA","28.37 ","0.0","28.53 ","28.34 ","28.52 ","28.34 "
"Av Villas","28.55 ","0.0","26.58 ","21.95 ","15.89 ","16.14 "
"BANCO CAJA SOCIAL","26.24 ","26.20 ","26.13 ","24.62 ","24.36 ","24.64 "
"BANCO SERFINANZA S.A.","27.87 ","27.87 ","27.87 ","27.87 ","27.87 ","25.02 "
"BBVA Colombia","28.35 ","0.25 ","27.44 ","26.38 ","27.71 ","28.28 "
"Banagrario","28.10 ","0.0","21.76 ","23.92 ","20.84 ","19.39 "
"Banco Davivienda","28.47 ","0.0","28.02 ","25.66 ","19.95 ","23.01 "
"Banco Falabella S.A.","22.83 ","0.0","28.02 ","27.80 ","27.51 ","27.93 "
"Banco GNB Sudameris","25.34 ","0.0","26.82 ","26.82 ","26.82 ","26.82 "
"Banco Pichincha S.A.","28.32 ","27.87 ","27.87 ","27.87 ","27.87 ","27.87 "
"Banco Popular","23.45 ","0.0","27.61 ","25.27 ","24.29 ","23.07 "
"Banco de Bogota","26.16 ","0.0","27.62 ","23.29 ","17.76 ","20.95 "
"Banco de Occidente","19.85 ","28.36 ","28.36 ","26.16 ","20.76 ","20.73 "
"Bancolombia","26.68 ","0.17 ","28.07 ","23.48 ","24.94 ","23.99 "
"Bancoomeva","28.48 ","28.38 ","28.41 ","28.24 ","26.51 ","27.81 "
"Coltefinanciera","26.38 ","0.0","0.0","0.0","0.0","26.08 "
"Confiar Cooperativa Financiera","24.82 ","21.61 ","21.43 ","21.70 ","20.98 ","21.56 "
"Coopcentral","13.28 ","26.51 ","26.47 ","26.57 ","27.26 ","26.69 "
"Financiera Juriscoop C.F.","28.18 ","0.0","28.43 ","28.29 ","28.45 ","26.92 "
"Finandina","27.86","27.54 ","27.63 ","25.40 ","24.50 ","26.26 "
"Giros & Finanzas C.F.","28.55 ","28.55 ","28.55 ","28.55 ","28.55 ","28.55 "
"ITAÚ; BANCO CORPBANCA;","25.35 ","0.0","28.07 ","26.11 ","23.92 ","23.23 "
"Tuya","28.50 ","28.32 ","28.50 ","28.50 ","28.51 ","28.44 "
